candidate_id,energy_proxy_eu_h,energy_avt_T6,energy_avt_F12,energy_hdt_W4,energy_hdt_T12,energy_hdt_F25
0,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
1,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
2,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
3,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
4,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
5,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
6,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
7,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
8,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
9,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
10,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
11,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
12,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
13,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
14,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
15,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
16,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
17,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
18,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
19,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
20,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
21,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
22,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
23,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
24,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
25,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
26,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
27,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
28,84.15294514216514,0.0,-5.9857282387062005,0.0,0.0396151418627805,-9.900941760991444
29,87.3320019195312,0.0,-5.9857282387062005,0.0,0.0396151418627805,-6.721884983625387
