candidate_id,avt_T6,avt_F12,hdt_W4,hdt_T12,hdt_F25,source_state_time,predicted_sulfur_mg_kg,sulfur_limit_mg_kg,limit_exceeded,status,status_reason,assessment_scope,interval_status,violation_probability_status,quality_feasible
0.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,12858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
1.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,13358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
2.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,13858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
3.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,14358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
4.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,14858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
5.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,15358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
6.0,204.7071990966797,341.7856140136719,1.0749530792236328,181.8215484619141,15858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
7.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,12858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
8.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,13358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
9.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,13858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
10.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,14358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
11.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,14858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
12.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,15358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
13.0,204.7071990966797,341.7856140136719,1.0749530792236328,184.3215484619141,15858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
14.0,204.7071990966797,341.7856140136719,1.0749530792236328,186.8215484619141,12858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
15.0,204.7071990966797,341.7856140136719,1.0749530792236328,186.8215484619141,13358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
16.0,204.7071990966797,341.7856140136719,1.0749530792236328,186.8215484619141,13858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
17.0,204.7071990966797,341.7856140136719,1.0749530792236328,186.8215484619141,14358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
18.0,204.7071990966797,341.7856140136719,1.0749530792236328,186.8215484619141,14858.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
19.0,204.7071990966797,341.7856140136719,1.0749530792236328,186.8215484619141,15358.740234375,2025-07-16 06:30:00,8.704287673972543,10.0,False,ok,,diagnostic_regression_response_not_recommendation,not_estimated,not_estimated,True
